inningsno,battingteam,playername,playerkey,runs,balls,fours,sixes,sr,howout,opponent,batpos,tournamentkey,matchid,source
1,SUPREMOS,Rahul Agarwal,rahul agarwal,19.0,25.0,1.0,0.0,76.0,c Ajay Thorat b Sameer,ANTIQUE FRIENDS,1,clt20s_pdf,1,txt
1,SUPREMOS,Varun Sood,varun sood,15.0,17.0,2.0,0.0,88.24,c Akshay Borkar b Ajay Thorat,ANTIQUE FRIENDS,2,clt20s_pdf,1,txt
1,SUPREMOS,Navratan Bengani,navratan bengani,6.0,7.0,0.0,0.0,85.71,b Sameer,ANTIQUE FRIENDS,3,clt20s_pdf,1,txt
1,SUPREMOS,Jay Kedia,jay kedia,10.0,8.0,1.0,0.0,125.0,b Sameer,ANTIQUE FRIENDS,4,clt20s_pdf,1,txt
1,SUPREMOS,Kanav Hingorani,kanav hingorani,9.0,11.0,1.0,0.0,81.82,b Mahesh,ANTIQUE FRIENDS,5,clt20s_pdf,1,txt
1,SUPREMOS,Nihir Garodia,nihir garodia,10.0,13.0,0.0,0.0,76.92,c Balkrishna Shirke b Mahesh,ANTIQUE FRIENDS,6,clt20s_pdf,1,txt
1,SUPREMOS,Pratik Chitalia,pratik chitalia,8.0,9.0,0.0,0.0,88.89,c&b Mahesh,ANTIQUE FRIENDS,7,clt20s_pdf,1,txt
1,SUPREMOS,Rajan Singh,rajan singh,30.0,16.0,2.0,2.0,187.5,not out,ANTIQUE FRIENDS,8,clt20s_pdf,1,txt
1,SUPREMOS,Vishal Baxi,vishal baxi,21.0,14.0,3.0,0.0,150.0,not out,ANTIQUE FRIENDS,9,clt20s_pdf,1,txt
1,SUPREMOS,Pratik Chitalia,pratik chitalia,0.0,3.0,0.0,0.0,0.0,c †Amar b Pankaj,Saregama,1,clt20s_pdf,2,txt
1,SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,1.0,4.0,0.0,0.0,25.0,run out Anurodh Gusain / † Amar,Saregama,2,clt20s_pdf,2,txt
1,SUPREMOS,Varun Sood,varun sood,7.0,8.0,1.0,0.0,87.5,c Ajit b Pankaj,Saregama,3,clt20s_pdf,2,txt
1,SUPREMOS,Ameya Deshpande,ameya deshpande,5.0,9.0,0.0,0.0,55.56,c Tarang Shah b Pankaj,Saregama,4,clt20s_pdf,2,txt
1,SUPREMOS,Rahul Agarwal,rahul agarwal,31.0,33.0,3.0,0.0,93.94,c †Amar b Bunty,Saregama,5,clt20s_pdf,2,txt
1,SUPREMOS,Lavesh Kalsekar,lavesh kalsekar,7.0,13.0,0.0,0.0,53.85,c Tarang Shah b Anurodh Gusain,Saregama,6,clt20s_pdf,2,txt
1,SUPREMOS,Navratan Bengani,navratan bengani,40.0,26.0,6.0,1.0,153.85,b Anurodh Gusain,Saregama,7,clt20s_pdf,2,txt
1,SUPREMOS,Abhishek Pingley,abhishek pingley,55.0,22.0,7.0,4.0,250.0,not out,Saregama,8,clt20s_pdf,2,txt
1,SUPREMOS,Sheel Vora,sheel vora,1.0,4.0,0.0,0.0,25.0,not out,Saregama,9,clt20s_pdf,2,txt
1,SUPREMOS,Varun Sood,varun sood,12.0,12.0,1.0,1.0,100.0,b Smit Desai,CENTRAL AVENGERS,1,clt20s_pdf,3,txt
1,SUPREMOS,Pratik Chitalia,pratik chitalia,14.0,24.0,2.0,0.0,58.33,b Harshil Shah,CENTRAL AVENGERS,2,clt20s_pdf,3,txt
1,SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,56.0,36.0,6.0,3.0,155.56,run out Milan Bhai,CENTRAL AVENGERS,3,clt20s_pdf,3,txt
1,SUPREMOS,Kanav Hingorani,kanav hingorani,1.0,2.0,0.0,0.0,50.0,b Khushal desai,CENTRAL AVENGERS,4,clt20s_pdf,3,txt
1,SUPREMOS,Rahul Agarwal,rahul agarwal,22.0,17.0,1.0,1.0,129.41,not out,CENTRAL AVENGERS,5,clt20s_pdf,3,txt
1,SUPREMOS,Navratan Bengani,navratan bengani,16.0,12.0,3.0,0.0,133.33,not out,CENTRAL AVENGERS,6,clt20s_pdf,3,txt
1,SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,1.0,1.0,0.0,0.0,100.0,run out Karan / Vivek Ilawat,MISFITS,1,clt20s_pdf,4,txt
