inningsno,bowlingteam,bowlername,playerkey,overs,maidens,runsconceded,wickets,econ,tournamentkey,matchid,source
2,JNS SUPREMOS (MT20CB 3.0),Vishal .,vishal ,4,0,33,1,8.25,zootermt20cb3,3879,playwright
2,JNS SUPREMOS (MT20CB 3.0),Pradeep .,pradeep ,3,0,23,0,7.67,zootermt20cb3,3879,playwright
2,JNS SUPREMOS (MT20CB 3.0),Aditya .,aditya ,2,0,16,0,8,zootermt20cb3,3879,playwright
2,JNS SUPREMOS (MT20CB 3.0),Urvish .,urvish ,1,0,16,0,16,zootermt20cb3,3879,playwright
2,JNS SUPREMOS (MT20CB 3.0),Varun .,varun ,4,0,39,1,9.75,zootermt20cb3,3879,playwright
2,JNS SUPREMOS (MT20CB 3.0),Pritesh .,pritesh ,2.2,0,24,1,10.29,zootermt20cb3,3879,playwright
2,JNS SUPREMOS (MT20CB 3.0),Kanav .,kanav ,2,0,17,0,8.5,zootermt20cb3,3879,playwright
2,JNS SUPREMOS (MT20CB 3.0),Nitin H,nitin h,1,0,14,0,14,zootermt20cb3,3879,playwright
1,JNS SUPREMOS (MT20CB 3.0),Vishal .,vishal ,1,0,13,0,13,zootermt20cb3,3985,playwright
1,JNS SUPREMOS (MT20CB 3.0),Pradeep .,pradeep ,4,0,32,4,8,zootermt20cb3,3985,playwright
1,JNS SUPREMOS (MT20CB 3.0),Rajan Singh,rajan singh,3,0,34,0,11.33,zootermt20cb3,3985,playwright
1,JNS SUPREMOS (MT20CB 3.0),Varun .,varun ,4,0,33,0,8.25,zootermt20cb3,3985,playwright
1,JNS SUPREMOS (MT20CB 3.0),Pritesh .,pritesh ,3,0,15,1,5,zootermt20cb3,3985,playwright
1,JNS SUPREMOS (MT20CB 3.0),Aditya .,aditya ,3,0,28,0,9.33,zootermt20cb3,3985,playwright
1,JNS SUPREMOS (MT20CB 3.0),Urvish .,urvish ,2,0,10,2,5,zootermt20cb3,3985,playwright
1,JNS SUPREMOS (ISDT 8.0),Pradeep Tewani,pradeep tewani,4,1,32,1,8,zooterisdt8,3816,playwright
1,JNS SUPREMOS (ISDT 8.0),Aditya Jain,aditya jain,3,0,33,0,11,zooterisdt8,3816,playwright
1,JNS SUPREMOS (ISDT 8.0),Varun Sood,varun sood,4,0,22,1,5.5,zooterisdt8,3816,playwright
1,JNS SUPREMOS (ISDT 8.0),Abhishek Pingley,abhishek pingley,4,0,33,1,8.25,zooterisdt8,3816,playwright
1,JNS SUPREMOS (ISDT 8.0),Pritesh Magodia,pritesh magodia,1,0,16,0,16,zooterisdt8,3816,playwright
1,JNS SUPREMOS (ISDT 8.0),Rahul Agarwal,rahul agarwal,1,0,17,0,17,zooterisdt8,3816,playwright
1,JNS SUPREMOS (ISDT 8.0),Kanav Hingorani,kanav hingorani,3,0,18,0,6,zooterisdt8,3816,playwright
2,JNS SUPREMOS (ISDT 8.0),Vishal .,vishal ,4,0,26,2,6.5,zooterisdt8,3822,playwright
2,JNS SUPREMOS (ISDT 8.0),Pradeep Tewani,pradeep tewani,4,0,20,3,5,zooterisdt8,3822,playwright
2,JNS SUPREMOS (ISDT 8.0),Varun Sood,varun sood,3.4,1,20,4,5.45,zooterisdt8,3822,playwright
2,JNS SUPREMOS (ISDT 8.0),Pritesh Magodia,pritesh magodia,2,0,19,0,9.5,zooterisdt8,3822,playwright
2,JNS SUPREMOS (ISDT 8.0),Aditya Jain,aditya jain,3,0,26,0,8.67,zooterisdt8,3822,playwright
2,JNS SUPREMOS (ISDT 8.0),Vishal Merwana,vishal merwana,2,0,21,0,10.5,zooterisdt8,3822,playwright
2,JNS SUPREMOS (ISDT 8.0),Vishal .,vishal ,4,0,20,1,5,zooterisdt8,3831,playwright
2,JNS SUPREMOS (ISDT 8.0),Rahul Agarwal,rahul agarwal,4,0,26,0,6.5,zooterisdt8,3831,playwright
2,JNS SUPREMOS (ISDT 8.0),Varun Sood,varun sood,4,0,22,3,5.5,zooterisdt8,3831,playwright
2,JNS SUPREMOS (ISDT 8.0),Abhishek Pingley,abhishek pingley,1,0,15,0,15,zooterisdt8,3831,playwright
2,JNS SUPREMOS (ISDT 8.0),Pritesh Magodia,pritesh magodia,4,0,21,3,5.25,zooterisdt8,3831,playwright
2,JNS SUPREMOS (ISDT 8.0),Kanav Hingorani,kanav hingorani,3,0,25,0,8.33,zooterisdt8,3831,playwright
2,JNS SUPREMOS (ISDT 8.0),Vishal .,vishal ,4,0,31,2,7.75,zooterisdt8,3933,playwright
2,JNS SUPREMOS (ISDT 8.0),Pradeep Tewani,pradeep tewani,3.1,0,19,0,6,zooterisdt8,3933,playwright
2,JNS SUPREMOS (ISDT 8.0),Varun Sood,varun sood,4,0,18,2,4.5,zooterisdt8,3933,playwright
2,JNS SUPREMOS (ISDT 8.0),Pritesh Magodia,pritesh magodia,4,0,26,0,6.5,zooterisdt8,3933,playwright
2,JNS SUPREMOS (ISDT 8.0),Abhishek Pingley,abhishek pingley,3,0,41,0,13.67,zooterisdt8,3933,playwright
2,JNS SUPREMOS (ISDT 8.0),Rahul Agarwal,rahul agarwal,1,0,18,0,18,zooterisdt8,3933,playwright
1,JNS SUPREMOS,Pradeep Tewani,pradeep tewani,4,0,43,2,10.75,jfscdpl202526,5418,playwright
1,JNS SUPREMOS,Aditya Jain,aditya jain,4,0,42,0,10.5,jfscdpl202526,5418,playwright
